areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E07000041,Exeter,ltla,2020-08-02,,,1
E07000041,Exeter,ltla,2020-08-01,,,0
E07000041,Exeter,ltla,2020-07-31,,,1
E07000041,Exeter,ltla,2020-07-30,,,1
E07000041,Exeter,ltla,2020-07-29,,,0
E07000041,Exeter,ltla,2020-07-28,,,0
E07000041,Exeter,ltla,2020-07-27,,,1
E07000041,Exeter,ltla,2020-07-26,,,0
E07000041,Exeter,ltla,2020-07-25,,,0
E07000041,Exeter,ltla,2020-07-24,,,2
E07000041,Exeter,ltla,2020-07-23,,,0
E07000041,Exeter,ltla,2020-07-22,,,1
E07000041,Exeter,ltla,2020-07-21,,,1
E07000041,Exeter,ltla,2020-07-20,,,0
E07000041,Exeter,ltla,2020-07-19,,,0
E07000041,Exeter,ltla,2020-07-18,,,1
E07000041,Exeter,ltla,2020-07-17,,,0
E07000041,Exeter,ltla,2020-07-16,,,1
E07000041,Exeter,ltla,2020-07-15,,,0
E07000041,Exeter,ltla,2020-07-14,,,0
E07000041,Exeter,ltla,2020-07-13,,,1
E07000041,Exeter,ltla,2020-07-12,,,1
E07000041,Exeter,ltla,2020-07-11,,,1
E07000041,Exeter,ltla,2020-07-10,,,1
E07000041,Exeter,ltla,2020-07-09,,,0
E07000041,Exeter,ltla,2020-07-08,,,0
E07000041,Exeter,ltla,2020-07-07,,,1
E07000041,Exeter,ltla,2020-07-06,,,0
E07000041,Exeter,ltla,2020-07-05,,,0
E07000041,Exeter,ltla,2020-07-04,,,1
E07000041,Exeter,ltla,2020-07-03,,,0
E07000041,Exeter,ltla,2020-07-02,,,0
E07000041,Exeter,ltla,2020-07-01,,,1
E07000041,Exeter,ltla,2020-06-30,,,0
E07000041,Exeter,ltla,2020-06-29,,,0
E07000041,Exeter,ltla,2020-06-28,,,0
E07000041,Exeter,ltla,2020-06-27,,,0
E07000041,Exeter,ltla,2020-06-26,,,0
E07000041,Exeter,ltla,2020-06-25,,,0
E07000041,Exeter,ltla,2020-06-24,,,0
E07000041,Exeter,ltla,2020-06-23,,,0
E07000041,Exeter,ltla,2020-06-22,,,0
E07000041,Exeter,ltla,2020-06-21,,,0
E07000041,Exeter,ltla,2020-06-20,,,1
E07000041,Exeter,ltla,2020-06-19,,,2
E07000041,Exeter,ltla,2020-06-18,,,1
E07000041,Exeter,ltla,2020-06-17,,,1
E07000041,Exeter,ltla,2020-06-16,,,0
E07000041,Exeter,ltla,2020-06-15,,,0
E07000041,Exeter,ltla,2020-06-14,,,0
E07000041,Exeter,ltla,2020-06-13,,,0
E07000041,Exeter,ltla,2020-06-12,,,0
E07000041,Exeter,ltla,2020-06-11,,,0
E07000041,Exeter,ltla,2020-06-10,,,1
E07000041,Exeter,ltla,2020-06-09,,,0
E07000041,Exeter,ltla,2020-06-08,,,2
